wordpilot_id	english	turkish_gloss_used	freedict_source_row	original_source_line
2188	bureau	büro, yazıhane, acente, daire, şube	4138	büro, yazıhane, acente, daire, şube; çekmece, çekmeceli dolap; ing. yazı masası, yazıhane.
2189	dramatic	tiyatro ile ilgili	9386	tiyatro ile ilgili; tiyatro türünü andıran (özellikle çatışma ve zıtlık ifade eden turü); hareketli, canlı, et kileyici, tesirli, çarpıcı. dramatically   bir oyunu andırır şekilde canlı olarak, çarpıcı olarak.
2190	illness	hastalık	15189	hastallk, rahatslzllk.
2191	memorial	hatırlatıcı	19180	hatırlatıcı; hatırda tutulmuş;  herhangi bir şeyi anmak için yapılan şey veya merasim; amt, abide; muhtıra, tezkere, önerge.
2192	minority	azınlık	19578	azınlık; reşit olmama.
2193	repair	gitmek, çekilmek	26012	gitmek, çekilmek.
2194	telephone	telefon; telefon etmek	31769	telefon;  telefon etmek, telefonla konuşmak. telephone central, telephone exchange telefon merkezi, santral on the telephone telefonda, telefonla .
2195	whereas	oysa; halbuki	35778	(bağlaç) oysa, halbuki; mademki; şartlara göre, dayanarak.
2196	decent	terbiyeli, nazik, nezih, temiz, iyi	8064	terbiyeli, nazik, nezih, temiz, iyi. decently  terbiye ölçüsünde; nezih bir şekilde; yeteri kadar.
2197	delay	gecikme; geciktirmek	8244	ertelemek, tehir etmek, sonraya bırakmak, alıkoymak, geciktirmek, maniolmak; gecikmek, geç kalmak;  tehir, gecikme, geç kalma; muhlet, vade.
2198	downtown	şehir merkezi	9347	şehrin merkezi, çarşının bulunduğu taraf;  çarşı istikametinde, çarşı tarafında;  şehrin merkezinde
2199	elite	seçkin	9940	belirli bir sosyal sınıfın en seçkin kısmı, seçkin kimseler, seçkin sınıf:  seçkin; ufak boy (on punto) harfleri olan.
2200	forth	ileri, dışarı, dışarıya doğru	12090	ileri, dışarı, dışarıya doğru. and so forth ve saire, ve başkaları. back and forth ileri geri. bring forth doğurmak; meydana getirmek, hasıl etmek, çıkarmak. from this time forth bundan böyle, bundan sonra.
2201	hire	işe almak; kiralamak	14483	kira, ücret; kiralama;  ücretle tutmak; kira ile tutmak, kiralamak, ücretle çalışmak. hired hand ücretli işçi. hire one self out ücretle çalışmak. for hire kiralık.
2202	insane	akıl dışı; deli	15964	deli, çıldırmış; delilere mahsus; delice, manasız. insane asylum tımarhane. insane person deli kimse. insanely  delicesine. insanity  delilik, cinnet.
2203	layer	katman	17542	kat, tabaka; daldırma. a good layer bol yumurta yumurtlayan tavuk. layer cake arası kremalı kat kat pasta.
2204	nowhere	hiçbir yerde	20956	hiç bir yerde.
2205	nurse	hemşire; bakım vermek	21004	hastabakıcı, hemşire; sütnine; dadı; bir teşebbüs veya maksadı destekleyen kimse veya yer. night nurse gece hemşiresi. wet nurse sütnine, sütana.
2206	obtain	bulmak, almak, ele geçirmek	21121	bulmak, almak, ele geçirmek; âdet olmak, geçerli olmak. obtainable  elde edilebilir, bulunabilir, kazanılabilir. obtainment  elde etme.
2207	poetry	şiir; şiir sanatı	23578	şiir, koşuk, nazım; şiir sanatı;şiirler ,manzumeler;şiir gibi herhangi birşey veya his.
2208	pray	dua etmek, niyaz etmek	23982	dua etmek, niyaz etmek; yalvarmak, istirham etmek; ibadet etmek, namaz kılmak. pray'er  dua eden kimse.
2209	recall	geri çağırmak	25590	geri çağırmak; hatırlamak, anımsamak; lağvetmek, feshetmek, geri almak;  geri çağırma; anımsama; geri gelme işareti veya emri; (pol.) bir yöneticinin halkoyu ile azledilmesi.
2210	sake	hatır, uğur	26970	hatır, uğur. for heaven' sake Allah aşkına. for my sake hatırın için. for the sake of argument farzedelim ki. for the sake of clarity anlaşılsın diye. for the sake of peace barış uğruna.
2211	syria	Suriye	31372	Suriye. Syrian   Suriyeli; Suriye Ortodoks kilisesine üye (kimse); Yakubiler kilisesine üye (kimse)
2212	abroad	ortalıkta, halk arasında	105	ortalıkta, halk arasında;  dışarıda; dış memleketlerde, hariçte; şurada  burada, her tarafta; memleket dışına.
2213	arab	Arap, Arabistanlı	1442	Arap, Arabistanlı; Arap atı. street Arab köprü altı çocuğu.
2214	atlantic	Atlas Okyanusu	1844	Atlas Okyanusu;  Atlas Okyanusu ile ilgili.
2215	bother	sıkıntı, sıkıcı bir iş veya durum, zahmet, üzüntü veren bir şey	3620	sıkıntı, sıkıcı bir iş veya durum, zahmet, üzüntü veren bir şey. It' no bother Bir şey değil Zahmet olmaz. bothersome  sıkıcı, üzücü.
2216	compete	rekabet etmek, yarışmak, müsabakaya girmek	6437	rekabet etmek, yarışmak, müsabakaya girmek.
2217	disaster	felaket, belâ, musibet, talihsizlik, büyük kaza	8863	felaket, belâ, musibet, talihsizlik, büyük kaza. disastrous  felâket getiren, feci. disastrously  feci halde.
2218	discover	keşfetmek, bulmak	8911	keşfetmek, bulmak; meydana çıkarmak. discoverable  keşfi mümkün. discoverer  kâşif, keşfeden kimse, bulan kimse.
2219	entrance	vecit haline koymak, kendinden geçirmek	10304	vecit haline koymak, kendinden geçirmek; büyülemek, teshir etmek. entrancement  vecit hali.
2220	equally	eşit olarak, müsavi olarak,aynı derecede	10425	eşit olarak, müsavi olarak,aynı derecede.
2221	fitness	Iiyakat	11601	Iiyakat; uygun ve yerinde oluş; sıhhatte oluş.
2222	intense	şiddetli, kuvvetli, keskin, hararetli	16105	şiddetli, kuvvetli, keskin, hararetli; gergin. intensely  şiddetle, kuvvetle. intenseness  şiddet, kuvvetlilik .
2223	lifetime	ömür, hayat müddeti	17818	ömür, hayat müddeti.
2224	makeup	yapılış	18582	yapılış; makyaj, yüze düzgün sürme; (matb.) mizanpaj, tertip; bütünleme sınavı.
2225	medal	madalya, para şeklinde nişan	19089	madalya, para şeklinde nişan.
2226	reduction	azaltma, eksiltme, küçültme	25741	azaltma, eksiltme, küçültme; azaltılmış şey; (tıb.) organı normal yerine getirme; perhizle zayıflama.
2227	reflect	aksetmek, yansımak	25790	aksetmek, yansımak; ayna gibi hayalini göstermek; netice olarak vermek; düşünmek, tefekkür etmek. reflect on kusurunu göstermek.
2228	refuse	kabul etmemek, reddetmek, vermemek, razı olmamak	25831	kabul etmemek, reddetmek, vermemek, razı olmamak; istememek, vaz geçmek; hendek veya çitten atlamayı istememek (at) refusable  reddolunur.
2229	silly	sersem, şaşkın, budala, akılsız	28606	sersem, şaşkın, budala, akılsız; divane, ahmak; ahmakça, gülünç; sersemlik kabilinden; budalaca, saçma. sillily  ahmakça. silliness  ahmaklık; saçmalık.
2230	subsequent	sonra gelen, sonraki	30708	sonra gelen, sonraki; sonuç olarak izleyen. subsequently  sonradan.
2231	translation	çeviri, tercüme	32874	çeviri, tercüme; verden yere nakil; tahvil, tebdil.
2232	visible	görülür, görünür	35171	görülür, görünür; açık, belli. visibil'ity  görünebilme; görme imkânı, görünürlük, görüş. visibly  görünebilir halde.
2233	berlin	bir çeşit fayton, oturulacak kapalı yeri olan at arabası	2897	bir çeşit fayton, oturulacak kapalı yeri olan at arabası.
2234	efficiency	yapılan işe veya kullanılan enerjiye göre verim oranı, randıman oranı	9785	yapılan işe veya kullanılan enerjiye göre verim oranı, randıman oranı; yeterlik, kifayet, ehliyet; etki, tesir; kabiliyet derecesi.
2235	enterprise	teşebbüs, yatırım, iş	10279	teşebbüs, yatırım, iş: uyanıklık, açıkgözlülük, girişkenlik; sonucu şüpheli olan önemli ve zor iş.
2236	journalist	gazeteci	16767	gazeteci.
2237	mill	değirmende öğütmek, çekmek	19483	değirmende öğütmek, çekmek; değirmenden geçirmek; (paranın kenarını) diş diş yapmak; dövüp köpürtmek (çikolata v.b.); koyun sürüsü gibi birbirine sokularak bir merkez etrafında dönmek.
2238	occasion	fırsat, münasebet, vesile, elverişli durum	21132	fırsat, münasebet, vesile, elverişli durum; sebep, hal, durum; Iüzum, gereklik;  vesile olmak, sebep olmak. on occasion ara sıra, fırsat düştükçe. take the occasion durumdan faydalanmak.
2239	passenger	yolcu, seyyah gezmen	22300	yolcu, seyyah gezmen. passengermile  yolcu başına bir mil hesabı ile yapılan mesafe ölçüsü. passenger pigeon nesli tükenmiş bir yaban güvercini.
2240	pope	b.h	23743	b.h. papa; Ortodoks papazı. pope' nose (k. dili) kuş kıçı, tavuğun gerisi. popedom  papalık.
2241	resident	oturan, sakin, mukim	26116	oturan, sakin, mukim; yerleşmiş; aslında bulunan; gelip geçici olmayan (kuş);  bir yerde oturan kimse, yerli; bir sömürgede veya himaye altında bulunan bir memlekette hami devlet mümessili.
2242	suitable	uygun, münasip, yerinde	30837	uygun, münasip, yerinde . suitabil'ity, suitableness  uygunluk. suitably  uygun bir şekilde, yerinde.
2243	thirty	otuz	32183	otuz;  otuz rakamı, XXX. thirtieth   otuzuncu;  otuzda bir.
2244	whilst	iken	35808	(bağlaç), (İng.) iken.
2245	agriculture	tarım	593	tarım; ziraat, çiftçilik. agricul'tural  tarımsal, zirai, çiftçiliğe ait. agricul'turist  ziraat uzmanı; çiftçi.
2246	commerce	ticaret, iş, alım satım	6348	ticaret, iş, alım satım; toplumsal ilişkiler; cinsel ilişki. chamber of commerce ticaret odası. domestic commerce iç ticaret. foreign commerce dış ticaret.
2247	cop	polis	6981	(k.dili.) polis.
2248	creek	çay, dere	7423	çay, dere; (ing) köy, küçük körfez. up the creek (ABD), (k.dili.) zor durumda.
2249	currency	nakit para	7722	nakit para; revaç, geçerlik.
2250	fraud	hile, dolandırıcılık, sahtekarlık	12200	hile, dolandırıcılık, sahtekarlık; dolandırıcı ve hilekar kimse, sahtekar kimse.
2251	genuine	hakiki, gerçek, mevsuk, taklit veya sahte olmayan	12812	hakiki, gerçek, mevsuk, taklit veya sahte olmayan; asli; içten gelen, samimi. genuinely  gerçekten, hakikaten. genuineness  içtenlik, samimiyet, gerçek oluş, hakikilik.
2252	hunter	avcı	14911	avcı; arayıcı; av atı veya köpeği.
2253	introduce	takdim etmek, tanıştırmak	16292	takdim etmek, tanıştırmak; ortaya çıkarmak, ortaya koymak, teklif etmek; tanıtmak; yeni bir bilgi getirmek; öğretmek, usulünü göstermek; içine sokmak; öne sürmek; başlamak, açmak .
2254	ratio	nispet, oran	25451	nispet, oran.
2255	remind	hatırlatmak, hatırına getirmek	25953	hatırlatmak, hatırına getirmek. reminder  hatırlatma; hatırlatan şey veya kimse. remindful  unutmayan, hatırlayan; hatırlatıcı.
2256	resort	gitmek, gitmek	26148	gitmek, (sık sık) gitmek; ("to" ile ) baş vurmak, müracaat etmek, başka çare kalmayınca kullanmak.
2257	routine	şartların gerektirdiği alışılmış iş veya hareket yöntemi	26697	şartların gerektirdiği alışılmış iş veya hareket yöntemi; iş programı;  alışılmış.
2258	scary	korku veren	27332	korku veren; korkak, çekingen.
2259	summary	özlü, kısa, acele, derhal yapılan	30877	özlü, kısa, acele, derhal yapılan;  özet, hulâsa. summary proceeding acele muhakeme usulü. summarily  resmi muameleyi beklemeden; süratle.
2260	asleep	uykuda olan, uyuşmuş	1687	uykuda olan, uyuşmuş;  uyurken, uykuya. fall asleep uykuya dalmak.  fast asleep derin uykuda. My foot  is asleep. Ayağım uyuşmuş.
2261	automatic	kendiliğinden hareket eden, otomatik	2040	kendiliğinden  hareket eden, otomatik;  otomatik tabanca.  automatic pilot uçağı idare eden otomatik  tertibat. automatically  otomatik olarak,  otomatikman.
2262	consent	muvafakat etmek, razı olmak, kabul etmek	6727	muvafakat etmek, razı olmak, kabul etmek.
2263	destruction	harap etme, mahvetme, yok etme, helâk, yıkılma	8516	harap etme, mahvetme, yok etme, helâk, yıkılma; yıkım; belâ; afet.
2264	divorce	boşama, boşanma, talâk	9149	boşama, boşanma, talâk; ayrılma, ayrılık;  boşamak; ayırmak; ayrılmak; alâkasını kesmek. divorcee  boşanmış kimse. divorcement  boşama, boşanma.
2265	drove	sürü, küme	9467	sürü, küme; enli keski, enli taş kalemi.
2266	fate	kader, takdir, kısmet, talih	11220	kader, takdir, kısmet, talih; ecel, helâk, ölüm; akibet, encam. the Fates kader tanrıçaları. fated  kadere dayanan, kadere bağlı; mahvolmaya mahkûm.
2267	frequency	sık sık vuku bulma, çok tekerrür etme	12251	sık sık vuku bulma, çok tekerrür etme; belirli bir zaman içinde tekerrür etme sayısı; (fiz.) frekans. frequency modulation (radyo) frekans modülasyonu.
2268	gene	jen	12760	(biyol.) jen.
2269	glory	şeref, şan, şöhret	13021	şeref, şan, şöhret; övünme; övgü, medih, sena, sitayiş: parlaklık, şaşaa, haşmet, ihtişam; celâl, izzet: (güz. san.) hale;  iftihar etmek, övünmek, çok sevinmek; gururlanmak; (güz. san.) hale şeklini almak.
2270	headquarters	karargâh	14055	karargâh; kumanda merkezi; merkez büro; merkezde çaIışanlar .
2271	heritage	miras, tereke	14305	miras, tereke; (biyol.), (psik.) kalıtım.
2272	jean	bir çeşit kaba pamuklu bez	16630	bir çeşit kaba pamuklu bez. jeans  bu bezden yapılan pantolon, blucin.
2273	landscape	kır manzarası, peyzaj	17380	kır manzarası, peyzaj. landscape architect bahçe mimarı. land scape gardener bahçeyi düzenleyen kimse.
2274	logic	mantık ilmi, mantık, eseme	18127	mantık ilmi, mantık, eseme; mantıklı düşünüş; muhakeme kuvveti; yargılama gücü. the logic of events olayların gerektirdiği.
2275	privacy	özellik	24292	özellik; gizlilik; kişisel dokunulmazlık. in absolute privacy tamamen mahrem olarak, sır olarak.
2276	regard	dikkatle bakmak, dikkat etmek	25842	dikkatle bakmak, dikkat etmek; itibar etmek, saymak; hürmet etmek, riayet etmek; addetmek, kabul etmek; dinlemek, dikkatli bakmak, dikkat etmek. as regards hakkında, hususunda.
2277	residence	oturma, ikamet	26114	oturma, ikamet; ev, mesken, hane, ikametgâh; yer; ikamet müddeti. declaration of residence ikamet beyannamesi. residence permit ikamet tezkeresi.
2278	salary	maaş, aylık, ücret	26979	maaş, aylık, ücret;  maaş vermek, ücret vermek, aylık bağlamak. salaried  aylıklı, maaşlı, ücretli.
2279	chemistry	kimya .analytical chemistry analitik kimya	5430	kimya .analytical chemistry analitik kimya. inorganic chemistry inorganik kimya.
2280	consumption	tüketim, istihlak	6811	tüketim, istihlak; yok etme; (tıb.) verem.
2281	dozen	düzine, on iki tane	9359	düzine, on iki tane. dozenth  on ikinci. baker' dozen on üç tane
2282	epic	destansı, hamasi, menkıbevi	10366	destansı, hamasi, menkıbevi;  destan; bu tür konulu roman veya oyun.
2283	exit	çıkış, gidiş, çıkılacak yer, çıkış kapısı	10830	çıkış, gidiş, çıkılacak yer, çıkış kapısı; sahneden çıkış;  çıkmak, gitmek; (tiyatro) çıkar (sahneden)
2284	expand	büyütmek	10853	büyütmek; geliştirmek,inkişaf ettirmek; şişirmek; genişletmek, tevsi etmek; açmak, yaymak; büyümek, gelişmek,inkişaf etmek; genişlemek, şişmek.
2285	gorgeous	muhteşem, harikulade, parlak, debdebeli, göz kamaştırıcı	13187	muhteşem, harikulade, parlak, debdebeli, göz kamaştırıcı. gorgeously  muhteşem bir şekilde.
2286	grateful	minnettar, müteşekkir, değerbilir	13307	minnettar, müteşekkir, değerbilir; hoş, güzel, makbul. gratefully  minnetle, şükranla. gratefulness  minnet, şükran borcu; minnettarlık.
2287	input	bir makinaya verilen enerji miktarı	15951	bir makinaya verilen enerji miktarı; bir elektrik cihazına verilen cereyan veya voltaj; bir şahsın yediği yemek miktarı; bir elektronik beyne verilen bilgi.
2288	luxury	lüks şey	18380	lüks şey; çok zevk veren şey; lüks hayata dalma; fazla bolluk içinde yaşama.
2289	outcome	sonuç	21629	sonuç.
2290	removal	kaldırılma, kaldırma, yerini değiştirme, nakil	25974	kaldırılma, kaldırma, yerini değiştirme, nakil; yol verme, işinden çıkarma; ihraç.
2291	reporter	gazete muhabiri	26046	gazete muhabiri; muhbir.
2292	rob	soymak	26524	soymak; başkasının para veya eşyasını alıp soymak; yağma etmek, talan etmek; mahrum etmek; hırsızlık etmek, adam soymak. rob Peter to pay Paul birine olan borcu ödemek için başkasının hakkını yemek.
2293	singapore	Singapur	28660	Singapur.
2294	tennis	tenis	31868	tenis. tennis arm, tennis eIbow çok tenis oynamaktan ileri gelen kol ağrısı. tennis ball tenis topu. tennis court tenis sahası, tenis kortu.
2295	theater	tre tiyatro	32054	(İng.) tre  tiyatro; tiyatro binası; amfiteatr, amfi; olay yeri, alan, meydan, sahne.
2296	contribution	yardım, bağış, muavenet, iane	6896	yardım, bağış, muavenet, iane; makale, yazı; (tic.) vergi, mükellefiyet; aidat, prim; müştereken mesul olanlardan birinin hissesini vermesi hali.
2297	delicious	Ieziz, lezzetli, nefis, güzel, tatlı	8259	Ieziz, lezzetli, nefis, güzel, tatlı. deliciously  nefis bir şekilde.
2298	deny	inkâr etmek	8376	inkâr etmek; tekzip etmek, reddetmek; mahrum etmek; esirgemek, vermemek; yalanlamak; kaçınmak, imtina etmek kırmak. deny oneself feragat etmek.
2299	fame	şöhret, nam, ün	11130	şöhret, nam, ün.
2300	genetic	bir şeyin aslına ait	12780	bir şeyin aslına ait; jenetige ait genetic heritage (biyol.), (psik.) kalıtım. genetically  jenetik bakımından, jenetik yoluyla.
2301	principle	prensip, ilke	24273	prensip, ilke; dürüstlük, ahlâk; öz; köken, temel neden; kural. active principle müessir madde. refuse on principle prensibine uygun olmadığından reddetmek. principled  prensip sahibi olan.
2302	rally	sakalaşmak, takılmak	25350	.,sakalaşmak, takılmak.
2303	reader	okuyucu, okur	25528	okuyucu, okur; yayımlanacak eserleri eleştiren kimse; düzeltmen; okuma kitabı; (İng.) okutman.
2304	representation	temsil etme veya edilme	26056	temsil etme veya edilme; simgeleyen şey, resim, suret; temsil, tiyatro oyunu, piyes; rol; başkalarını temsil etme hakkı; ifade, takrir; önerme; milletvekili seçim sistemi; vekiller heyeti.
2305	twin	ikiz	33448	(-ned, -ning) ikiz; çift;  ikiz doğurmak; ikiz olarak doğmak; ikiz gibi kılmak. twin'born  ikiz olarak doğmuş. Siamese twins birbirine yapışık olarak doğmuş ikiz kardeşler. the Twins ikizler burcu.
2306	alert	tetik, açıkgöz, atik, uyanık, zeyrek	669	tetik, açıkgöz, atik, uyanık, zeyrek;  alarm işareti the alert (ask.) "uyanık ol'' işareti. be on the alert gözünü açmak, uyanık olmak, hazır olmak. alertness  tetiklik, açıkgözIük , atiklik.
2307	arena	arena, oyun meydanı, amfiteatrın ortasında bulunan meydan	1520	arena, oyun meydanı, amfiteatrın  ortasında bulunan meydan; mücadele alanı.
2308	billy	cop	3073	(k.dili) cop; sopa, çomak; Avustralya içinde çay yapılan teneke çaydanlık.
2309	brave	cesur, yürekli, yiğit	3775	cesur, yürekli, yiğit; yağız, yakışıklı;  yiğit kimse, kahraman; Kızılderili savaşçı;  cesaretle karşı koymak, göğüs germek, karşı gelmek. bravely  yiğitçe.
2310	column	sütun	6280	(mim.)sütun;direk; (matb.)bir yazarın gazete veya dergide muntazaman ve aynı başlık altında çıkan yazısı, fıkra;(ask.)(kol)
2311	compensation	tazmin, telafi	6434	tazmin, telafi; karşılık, ücret, maaş, bedel; takas, karşılama.
2312	composition	tümleme, derleme, bir araya getirme	6469	tümleme, derleme, bir araya getirme; tertip, terkip; nitelik, mahiyet; alaşım, halita; bileşim: kompozisyon, yazı ödevi, tahrir; beste, bestecilik; uzlaşma, anlama; (matb.) dizgi, tertip.
2313	density	yoğunluk, kesafet, koyuluk, sıkılık	8360	yoğunluk, kesafet, koyuluk, sıkılık; aptalık; (foto.) şeffaf olmama derecesi kesafet; (elek) alan birimine göre elektrik miktarı, kesafet.
2314	difficulty	güçlük zorluk, müşkülât	8706	güçlük zorluk, müşkülât: güç şey, engel, mânia: nazlanma, itiraz; sıkıntı, problem. be in difficulties parasız kalmak. make veya raise a difficulty güçlük çıkarmak.
2315	elementary	basit, sade, öz	9917	basit, sade, öz; ilk, başlangıç, giriş. elementary education ilköğretim. elementary proposition (man.) asıl önerme. elementary school ilkokul; ilk ve ortaokul.
2316	fleet	donanma, filo	11699	donanma, filo. fleet of trucks bir firmanın bütün kamyonları.
2317	genius	deha, üstün kabiliyet, istidat, yetenek, özel vasıf, ozellik, hususiyet	12794	(coğ. geniuses) deha, üstün kabiliyet, istidat, yetenek, özel vasıf, ozellik, hususiyet; dahi.
2318	knee	diz ile vurmak	17127	diz ile vurmak.
2319	nigeria	Nijerya	20678	Nijerya.
2320	priest	papaz, rahip, karabaş	24233	papaz, rahip, karabaş. parish priest mahalle papazı.
2321	residential	ikamete yarar, içinde oturulur, ikamete mahsus	26117	ikamete yarar, içinde oturulur, ikamete mahsus. residential quarter bir şehirde ikametgahların çok olduğu semt.
2322	reward	mükâfatlandırmak, mükâfatını vermek, ödül vermek	26315	mükâfatlandırmak, mükâfatını vermek, ödül vermek; karşılığını vermek; gönül okşamak; taltif etmek;  mükâfat, ödül, karşılık; ücret, bahşiş. rewardable  mükâfatlandırılabilir.
2323	satellite	uydu, peyk, satelit, bir gezegenin uydusu	27186	uydu, peyk, satelit, bir gezegenin uydusu; büyük bir kimsenin peşinde dolaşan kimse, bende, uşak.
2324	trap	bir çeşit volkanik kara taş	32916	bir çeşit volkanik kara taş. trappean  volkanik kara taş benzeri.
2325	wildlife	yabanıl hayat	35937	yabanıl hayat; yabanıl hayvanlar.
2326	component	bir tümü meydana getiren kısımlardan biri, cüz, unsur, parça, eleman	6463	bir tümü meydana getiren kısımlardan biri, cüz, unsur, parça, eleman;  bileşimde bulunan.
2327	courage	cesaret, yiğitlik, yüreklilik, mertlik	7281	cesaret, yiğitlik, yüreklilik, mertlik. have the courage of one' convictionsdavran ışlarını inançlarına uydurmaya cesaret etmek. take courage cesaretlenmek, kuvvet almak.
2328	cure	tedavi, çare, derman, ilâç	7704	tedavi, çare, derman, ilâç; şifa; kür; konserve yapma. cure-all  her derde deva. past cure tedavi edilebilecek haddi aşmış, iyileşmez; çaresiz.
2329	desperate	ümitsiz	8498	ümitsiz; çaresizlikten deliye dönmüş; vahim, müthiş, korkunç, tehlikeli; dehşetli; aşırı despera'tion . yeis, ümitsizlikten ileri gelen akıl dengesizliği.
2330	diversity	başkalık, çeşitlilik, fark	9133	başkalık, çeşitlilik, fark; çeşit, cins, nevi.
2331	eve	Havva	10677	Havva. dauqhter of Eve Havva'nın kızı; kadın; mütecessis kadın.
2332	frozen	donmuş, buz kesilmiş	12332	donmuş, buz kesilmiş; kalpsiz, soğuk; dondurulup konserve edilmiş. frozen assets donmuş mevduat. frozen credits donmuş krediler. frozen prices donmuş fiyatlar.
2333	humanity	insan, beşer	14872	insan, beşer; insanlık, beşeriyet, beniâdem; insaniyetperverlik, merhamet, şefkat. the humanities klasik Yunan ve Latin edebiyatları üzerinde çalışma; konusu insan olan ilimler, hümaniter bilimler.
2334	ian	özgü	15076	(sonek) özgü: amphibian, Smithsonian.
2335	invest	yatırmak	16347	(para) yatırmak; (para, güç, zaman) sarfetmek; memuriyete koymak; (saIâhiyet) vermek; kuşatmak. invest in ileride gelir sağlamak için bir şeye para yatırmak.
2336	jacket	ceket	16553	ceket; ciltli kitabın üstüne geçirilen kâğıt kap; (mak.) silindir ceketi;  (mak.) silindire ceket geçirmek, kaplamak.
2337	legislative	kanun koyan, yasamalı	17642	kanun koyan, yasamalı. legislative immunity milletvekilliği dokunulmazlığı. legislative power yasama gücü, yasama erki. legislatively  kanun vasıtası ile.
2338	painful	ıstırap çektiren	21954	ıstırap çektiren; zahmetli, güç, meşakkatli; üzücü, kederlendirici. painfully  ıstırap vererek, meşakkatle. painfulness  acı, ıstırap.
2339	preparation	hazırlama	24112	hazırlama; hazırlık; hazırlanan şey; hazır ilâç.
2340	punch	punç, meşrubat	24787	punç, meşrubat. punch bowl içinde punç yapılan büyük kap. punch glass punç kadehi.
2341	registration	kayıt, tescil	25866	kayıt, tescil.
2342	rick	saman veya kuru ot yığını, özellikle üstü örtülü büyük yıgın	26372	saman veya kuru ot yığını, özellikle üstü örtülü büyük yıgın;  kuru ot yığmak.
2343	sufficient	kâfi, yeterli	30809	kâfi, yeterli; elverişli, uygun, münasip. sufficiently  kâfi derecede.
2344	underground	yeraltında	33844	yeraltında; gizli olarak;  yeraltında olan; gizli;  yeraltı; yeraltı geçidi; (gen.) (İng.) yeraltı treni, metro; hükümet veya işgal kuvvetlerine karşı faaliyette bulunan gizli teşkilât; yeraltı örgütü.
2345	arsenal	tophane, askeri teçhizat deposu	1600	tophane, askeri teçhizat deposu.
2346	biological	biyoloji ilmine ait, biyolojik biological warfare biyolojik savaş	3111	biyoloji ilmine ait, biyolojik biological warfare biyolojik savaş.
2347	define	tarif etmek, tavsif etmek	8188	tarif etmek, tavsif etmek; sınırlamak, tahdit etmek, tayin etmek, ayırmak, tefrik etmek. definable  tarifi mümkün; ayırt edilebilir.
2348	discrimination	aleyhte davranma	8923	aleyhte davranma; ayırım, tefrik, temyiz; ince farkları görebilme kabiliyeti, zevk sahibi oluş; fark gözetme, ayırım yapma.
2349	disorder	düzensizlik, intizamsızlık, nizamsızlık	8993	düzensizlik, intizamsızlık, nizamsızlık; karışıklık, gürültü; hastalık, illet;  düzenini bozmak, karıştırmak; (sağIığını) bozmak. disordered  düzensiz, nizamsız, bozuk, karışık; kaçık, çatlak.
2350	dynamic	tabii kuvvete ait, dinamik	9612	tabii kuvvete ait, dinamik; mekanik gücü olan; değişme ve hareket halinde olan; kuvvetli, enerjik, faal.
2351	footage	kademlik, uzunluk	11906	kademlik, (arsa kenarı, filim, tahta) uzunluk; (mad.) çalışmaya göre ödenen para.
2352	grave	oymak, hakketmek	13317	(graved, graven) oymak, hakketmek. graven image oyma put .
2353	implementation	yürütme, yerine getirme	15337	yürütme, yerine getirme.
2354	laboratory	laboratuvar	17250	laboratuvar.
2355	literary	kitaba veya edebiyata ait, edebi	17988	kitaba veya edebiyata ait, edebi: edebiyatla ilgili. literarily  edebi olarak.
2356	midnight	gece yarısı	19424	gece yarısı. midnight sun kutuplar civarında gece yarısı güneşi. burn the midnight oil gece geç vakte kadar çalışmak.
2357	mouse	fare avlamak, fare tutmak	20100	fare avlamak, fare tutmak; sinsi sinsi bir şeyin peşinden gitmek. mouser  avcı kedi.
2358	praise	övmek, methetmek, sena etmek	23966	övmek, methetmek, sena etmek; hamdetmek, şükretmek;  övgü, sena, medih, sitayiş; hamt, şükür.
2359	presentation	sunma, takdim	24150	sunma, takdim; gösterme; huzura çıkma; verilme, sunulma; tiyatro oyunu; (psik.) kavrama gücü; (tıb.) doğumda ceninin duruş şekli. presen- tation copy hediyelik nüsha.
2360	psychology	ruhbilim, psikoloji	24675	ruhbilim, psikoloji. psychologist  ruh bilgini, psikolog.
2361	rocket	havai fişek, roket	26540	havai fişek, roket;  roket atmak; havaya doğru dik uçmak; hızlı ve dikine uçmak. rocket bomb tepkili bomba.
2362	sec	sek	27669	(Fr.) sek (şarap)
2363	stability	olduğu yerde sağlam durma	29935	olduğu yerde sağlam durma; muhkem olma; salamlık; katılık; karar, sebat, temkin; (mak.) muvazene, denge.
2364	treaty	antlaşma, muahede	32955	antlaşma, muahede. treaty port özel bir antlaşma şartı ile eskiden ecnebilere açık olan liman. treaty terms antlaşma şartları.
2365	unlikely	olasısız, muhtemel olmayan	34146	olasısız, muhtemel olmayan; başaracağı tahmin edilmeyen. unlikelihood, unlikeliness  olasısızlık.
2366	vietnam	Vietnam	35065	Vietnam. Vietnamese   Vietnamlı; Vietnam dili;  Vietnamlı; Vietnam diline ait.
2367	affair	iş, maslahat	467	iş, maslahat; vaka, olay, hadise;  hal; ilişki. an affair of honor namus veya  şeref meselesi. Foreign Affairs Dışişleri  as affairs stand şimdiki halde. Iove affair  aşk macerası.
2368	agenda	gündem, görülecek işler	551	gündem, görülecek işler.
2369	bow	baş, pruva bowman baş tarafta kürek çeken adam	3678	baş, pruva (gemi)bowman  baş tarafta kürek çeken adam; filikada pruvacı.
